trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,key_resp.corr,participant,session,date,expName,psychopyVersion,frameRate
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,56,55,down,0.005,db,0.047284631,0.0006362,158.0708126,158.0708126,158.3703661,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,57,56,down,0.005,db,0.04725742,0.0006303,160.3862912,160.3862912,160.6861605,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,58,57,down,0.005,db,0.04725742,0.0005991,162.6854737,162.6854737,162.9853167,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,59,58,down,0.005,db,0.04725742,0.0006136,165.0513784,165.0513784,165.3512074,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,60,59,down,0.005,db,0.047230224,0.0006404,167.4172814,167.4172814,167.7168654,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,61,60,down,0.005,db,0.047230224,0.000677,169.7832006,169.7832006,170.0828017,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,62,61,down,0.005,db,0.047230224,0.0006441,172.1157528,172.1157528,172.4153888,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,63,62,down,0.005,db,0.047203044,0.0006605,174.4649661,174.4649661,174.764715,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,64,63,down,0.005,db,0.047203044,0.0005348,176.8139303,176.8139303,177.1139286,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,65,64,down,0.005,db,0.047203044,0.0006439,179.1466193,179.1466193,179.4463058,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,66,65,down,0.005,db,0.047175879,0.0006375,181.4459031,181.4459031,181.7454573,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,67,66,down,0.005,db,0.047175879,0.0006355,183.7615789,183.7615789,184.0615797,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,68,67,down,0.005,db,0.047175879,0.0006379,186.0941264,186.0941264,186.393922,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,69,68,down,0.005,db,0.047148731,0.000635,188.4474401,188.4474401,,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,70,69,down,0.005,db,0.047148731,0.0005543,190.7425457,190.7425457,191.0424439,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,71,70,down,0.005,db,0.047148731,0.0005796,193.1086379,193.1086379,193.4084297,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,72,71,down,0.005,db,0.047121597,0.0006398,195.4577172,195.4577172,195.7574007,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,73,72,down,0.005,db,0.047121597,0.0006503,197.7902593,197.7902593,198.0899985,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,74,73,down,0.005,db,0.047121597,0.0006504,200.1227209,200.1227209,200.4226528,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,75,74,down,0.005,db,0.04709448,0.0006342,202.5053298,202.5053298,,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,76,75,down,0.005,db,0.04709448,0.0005994,204.7881133,204.7881133,205.0877751,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
